Run,Algorithm,Map,Success,Path_Length,Completion_Time,Expanded_Nodes,Collected_Coins,Remaining_Blood
6,partial_observe,Map 6,1,141.26767407637462,14.006942926212313,750,2,85
7,partial_observe,Map 6,1,55.0256665618146,10.504864977408658,120,1,90
8,partial_observe,Map 6,1,163.5516363324173,13.868121795965129,300,0,85
9,partial_observe,Map 6,1,165.57601099906356,9.226331260944733,653,1,85
10,partial_observe,Map 6,0,149.49667318612518,13.310820244843132,0,2,85
1,partial_observe,Map 7,1,86.70394156308656,5.824457036822452,149,3,70
2,partial_observe,Map 7,1,156.23004179597342,8.125027980372929,113,0,70
3,partial_observe,Map 7,1,144.97619351966432,6.964770052008404,318,0,70
4,partial_observe,Map 7,1,136.0628500140982,14.647742750869705,146,1,70
5,partial_observe,Map 7,1,64.96984788320091,9.768758931253656,232,2,70
6,partial_observe,Map 7,1,120.67091458350868,7.705208937422862,248,3,70
7,partial_observe,Map 7,1,71.25012706315087,13.074519155426643,174,0,70
8,partial_observe,Map 7,1,92.35580146466273,6.894557468304027,243,1,70
9,partial_observe,Map 7,1,100.67981235373162,9.02901754220459,78,0,70
10,partial_observe,Map 7,0,114.27210837725016,10.426690119398653,0,0,70
1,partial_observe,Map 8,1,156.38280334903925,22.71157874174868,68,1,85
2,partial_observe,Map 8,1,127.80026388137317,12.971820059120585,97,0,85
3,partial_observe,Map 8,1,144.32610237336425,18.327012850840084,280,0,85
4,partial_observe,Map 8,1,266.07576973427314,22.978857788007094,0,0,90
5,partial_observe,Map 8,0,178.7363885422801,13.542482108936639,156,1,85
6,partial_observe,Map 8,1,149.7874343983779,19.94514299074532,0,1,85
7,partial_observe,Map 8,1,254.4667549758036,8.557967705835278,56,2,80
8,partial_observe,Map 8,1,196.96400934088553,25.78423709835885,133,0,90
9,partial_observe,Map 8,1,105.60913436261977,30.935125243990406,45,2,80
10,partial_observe,Map 8,0,268.7334086556026,28.187245614733627,0,1,90
1,partial_observe,Map 9,1,149.29732879730463,12.144627070115435,273,1,85
2,partial_observe,Map 9,1,115.96579873659533,8.20635211821697,124,1,80
3,partial_observe,Map 9,1,153.1010085827367,12.748430559609098,0,3,80
4,partial_observe,Map 9,1,197.09000814553107,15.199512909591153,8,2,90
5,partial_observe,Map 9,1,125.25539621736812,19.387964375596177,0,1,85
6,partial_observe,Map 9,1,151.70304988920486,17.829166460152358,0,0,85
7,partial_observe,Map 9,1,171.08663516144279,11.712102327273548,246,1,90
8,partial_observe,Map 9,1,140.23823374999577,15.594146636956012,91,0,85
9,partial_observe,Map 9,1,101.67431660938979,15.03118851954922,431,3,80
10,partial_observe,Map 9,1,117.57395174399316,17.826154026474384,144,2,90
1,Q Learning,Map 1,1,209.62327730968622,17.51820938959098,179,3,90
2,Q Learning,Map 1,1,138.24256792851554,25.6853125783632,158,2,90
3,Q Learning,Map 1,1,217.32014989866659,20.204967036925424,117,1,90
4,Q Learning,Map 1,1,180.82902830959182,18.11375948267231,272,2,90
5,Q Learning,Map 1,1,163.35695463192482,4.691044419628872,393,2,90
6,Q Learning,Map 1,1,212.23426228015376,8.134956229265713,0,2,90
7,Q Learning,Map 1,1,54.19666125084292,20.718760265473968,293,2,90
8,Q Learning,Map 1,1,189.75102277864772,12.589665785661918,8,2,90
9,Q Learning,Map 1,1,213.10457475919986,20.150906995937476,868,2,90
10,Q Learning,Map 1,1,167.2237007137032,10.383806621770365,345,2,90
1,Q Learning,Map 2,1,195.0,19.50903964042664,220,3,85
1,Q Learning,Map 2,1,195.0,19.50903964042664,220,3,85
2,Q Learning,Map 2,1,195.0,19.50903964042664,220,3,85
3,Q Learning,Map 2,1,195.0,19.50903964042664,220,3,85
4,Q Learning,Map 2,1,195.0,19.50903964042664,220,3,85
